URL: /
Timestamp: Wed Jun 29 2022 16:12:09 GMT+0100 (British Summer Time)

URL: /favicon.ico
Timestamp: Wed Jun 29 2022 16:12:09 GMT+0100 (British Summer Time)

URL: /documentation
Timestamp: Wed Jun 29 2022 16:12:15 GMT+0100 (British Summer Time)

::1 - - [07/Jul/2022:12:55:01 +0000] "POST /students/Ben%20Cohen HTTP/1.1" 404 160 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Jul/2022:12:55:16 +0000] "POST /movie/ HTTP/1.1" 404 146 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Jul/2022:12:55:21 +0000] "GET /movie/ HTTP/1.1" 404 145 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Jul/2022:14:18:48 +0000] "PUT /users/1 HTTP/1.1" 404 146 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Jul/2022:14:19:36 +0000] "PUT /users/1 HTTP/1.1" 404 146 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Jul/2022:14:30:01 +0000] "PUT /user/1 HTTP/1.1" 404 145 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Jul/2022:15:50:27 +0000] "POST /users/2/yama HTTP/1.1" 404 152 "-" "PostmanRuntime/7.29.0"
::1 - - [07/Jul/2022:15:51:09 +0000] "POST /users/1/yama HTTP/1.1" 404 152 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:13:43:03 +0000] "GET / HTTP/1.1" 200 28 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:14:08:05 +0000] "PUT /users/2/Lord%20of%20the%20Rings HTTP/1.1" 404 170 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:47:30 +0000] "PUT /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:48:03 +0000] "PUT /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:48:08 +0000] "GET /users HTTP/1.1" 404 144 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:48:13 +0000] "GET /users/ HTTP/1.1" 404 145 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:49:00 +0000] "POST /users/2 HTTP/1.1" 404 147 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:49:04 +0000] "POST /users/1 HTTP/1.1" 404 147 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:49:17 +0000] "POST /users/:1 HTTP/1.1" 404 148 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:49:35 +0000] "POST /users/1/ HTTP/1.1" 404 148 "-" "PostmanRuntime/7.29.0"
::1 - - [08/Jul/2022:15:50:40 +0000] "GET /users/ HTTP/1.1" 404 145 "-" "PostmanRuntime/7.29.0"
